# Generated Complex Grid Map
# NODE,id,name,x,y
# EDGE,startId,endId,length,capacity,isUnderConstruction,potholes

NODE,1,Node_1,0,0
NODE,2,Node_2,4,0
NODE,3,Node_3,8,0
NODE,4,Node_4,12,0
NODE,5,Node_5,16,0
NODE,6,Node_6,20,0
NODE,7,Node_7,24,0
NODE,8,Node_8,28,0
NODE,9,Node_9,32,0
NODE,10,Node_10,36,0
NODE,11,Node_11,40,0
NODE,12,Node_12,44,0
NODE,13,Node_13,0,4
NODE,14,Node_14,4,4
NODE,15,Node_15,8,4
NODE,16,Node_16,12,4
NODE,17,Node_17,16,4
NODE,18,Node_18,20,4
NODE,19,Node_19,24,4
NODE,20,Node_20,28,4
NODE,21,Node_21,32,4
NODE,22,Node_22,36,4
NODE,23,Node_23,40,4
NODE,24,Node_24,44,4
NODE,25,Node_25,0,8
NODE,26,Node_26,4,8
NODE,27,Graphic Era Univ,8,8
NODE,28,Node_28,12,8
NODE,29,Node_29,16,8
NODE,30,Node_30,20,8
NODE,31,Node_31,24,8
NODE,32,Node_32,28,8
NODE,33,Node_33,32,8
NODE,34,Node_34,36,8
NODE,35,Clement Town,40,8
NODE,36,Node_36,44,8
NODE,37,Node_37,0,12
NODE,38,Node_38,4,12
NODE,39,Node_39,8,12
NODE,40,Node_40,12,12
NODE,41,Node_41,16,12
NODE,42,Node_42,20,12
NODE,43,Node_43,24,12
NODE,44,Paltan Bazaar,28,12
NODE,45,Node_45,32,12
NODE,46,Node_46,36,12
NODE,47,Node_47,40,12
NODE,48,Node_48,44,12
NODE,49,Node_49,0,16
NODE,50,Node_50,4,16
NODE,51,Node_51,8,16
NODE,52,Node_52,12,16
NODE,53,Node_53,16,16
NODE,54,Node_54,20,16
NODE,55,Node_55,24,16
NODE,56,Node_56,28,16
NODE,57,Node_57,32,16
NODE,58,Node_58,36,16
NODE,59,Node_59,40,16
NODE,60,Node_60,44,16
NODE,61,Node_61,0,20
NODE,62,Node_62,4,20
NODE,63,Node_63,8,20
NODE,64,Node_64,12,20
NODE,65,Node_65,16,20
NODE,66,Node_66,20,20
NODE,67,Node_67,24,20
NODE,68,Node_68,28,20
NODE,69,Node_69,32,20
NODE,70,Node_70,36,20
NODE,71,Pacific Mall,40,20
NODE,72,Node_72,44,20
NODE,73,Node_73,0,24
NODE,74,Node_74,4,24
NODE,75,Node_75,8,24
NODE,76,Node_76,12,24
NODE,77,Node_77,16,24
NODE,78,Node_78,20,24
NODE,79,Rajpur Road,24,24
NODE,80,Node_80,28,24
NODE,81,Node_81,32,24
NODE,82,Node_82,36,24
NODE,83,Node_83,40,24
NODE,84,Node_84,44,24
NODE,85,Node_85,0,28
NODE,86,Node_86,4,28
NODE,87,Node_87,8,28
NODE,88,Node_88,12,28
NODE,89,Node_89,16,28
NODE,90,Node_90,20,28
NODE,91,Node_91,24,28
NODE,92,Node_92,28,28
NODE,93,Node_93,32,28
NODE,94,Node_94,36,28
NODE,95,Node_95,40,28
NODE,96,Node_96,44,28
NODE,97,Node_97,0,32
NODE,98,Node_98,4,32
NODE,99,Node_99,8,32
NODE,100,Prem Nagar,12,32
NODE,101,Node_101,16,32
NODE,102,Node_102,20,32
NODE,103,Node_103,24,32
NODE,104,Node_104,28,32
NODE,105,Node_105,32,32
NODE,106,Node_106,36,32
NODE,107,Node_107,40,32
NODE,108,Node_108,44,32
NODE,109,Node_109,0,36
NODE,110,Node_110,4,36
NODE,111,Node_111,8,36
NODE,112,Node_112,12,36
NODE,113,Node_113,16,36
NODE,114,Node_114,20,36
NODE,115,Node_115,24,36
NODE,116,Node_116,28,36
NODE,117,Node_117,32,36
NODE,118,Node_118,36,36
NODE,119,Node_119,40,36
NODE,120,Node_120,44,36
